,res_id,res_dt,date,train_nr,line,reserved,capacity,bp_from,bp_to,dep_ist,dep_soll,arr_ist,arr_soll
77618,84780,2021-03-21,2021-03-26,823,IC 8,1.0,9.0,BN,ZUE,15:02:38,15:02:30,2021-03-26 15:59:29,2021-03-26 15:58:00
77619,84781,2021-03-23,2021-03-26,823,IC 8,1.0,9.0,BR,TH,13:48:43,13:48:30,2021-03-26 14:35:49,2021-03-26 14:34:36
77620,84782,2021-03-25,2021-03-26,823,IC 8,1.0,9.0,BN,FF,15:02:38,15:02:30,2021-03-26 16:41:54,2021-03-26 16:41:30
77621,84783,2021-03-26,2021-03-26,823,IC 8,1.0,9.0,ZUE,FF,16:05:33,16:05:30,2021-03-26 16:41:54,2021-03-26 16:41:30
77622,84784,2021-03-26,2021-03-26,823,IC 8,1.0,9.0,BN,W,15:02:38,15:02:30,2021-03-26 16:28:57,2021-03-26 16:29:00
77623,84785,2021-03-26,2021-03-26,823,IC 8,1.0,9.0,BN,ZUE,15:02:38,15:02:30,2021-03-26 15:59:29,2021-03-26 15:58:00
80075,87986,2021-04-02,2021-04-02,823,IC 8,1.0,9.0,SP,TH,14:26:24,14:25:42,2021-04-02 14:34:55,2021-04-02 14:34:36
80076,87987,2021-04-02,2021-04-02,823,IC 8,1.0,9.0,TH,ZUE,14:36:35,14:36:24,2021-04-02 16:05:26,2021-04-02 15:58:00
80077,87988,2021-04-02,2021-04-02,823,IC 8,2.0,9.0,ZUE,WF,16:07:30,16:05:30,2021-04-02 16:52:32,2021-04-02 16:53:36
80078,87989,2021-04-02,2021-04-02,823,IC 8,1.0,9.0,AW,RH,17:06:48,17:06:48,2021-04-02 17:11:50,2021-04-02 17:12:00
80079,87990,2021-04-02,2021-04-02,823,IC 8,1.0,9.0,AW,RH,17:06:48,17:06:48,2021-04-02 17:11:50,2021-04-02 17:12:00
81329,89248,2021-04-03,2021-04-03,823,IC 8,1.0,9.0,BN,ZUE,15:02:43,15:02:30,2021-04-03 15:58:29,2021-04-03 15:58:00
81330,89249,2021-04-03,2021-04-03,823,IC 8,1.0,9.0,ZUE,FF,16:05:35,16:05:30,2021-04-03 16:41:09,2021-04-03 16:41:30
82301,90232,2021-04-03,2021-04-04,823,IC 8,2.0,9.0,BR,ZUE,13:48:43,13:48:30,2021-04-04 15:57:23,2021-04-04 15:58:00
82302,90233,2021-04-03,2021-04-04,823,IC 8,1.0,9.0,VI,ZUE,13:57:42,13:57:48,2021-04-04 15:57:23,2021-04-04 15:58:00
82303,90234,2021-04-04,2021-04-04,823,IC 8,2.0,9.0,BN,ZUE,15:02:46,15:02:30,2021-04-04 15:57:23,2021-04-04 15:58:00
82304,90235,2021-04-04,2021-04-04,823,IC 8,1.0,9.0,BN,ZFH,15:02:46,15:02:30,2021-04-04 16:15:15,2021-04-04 16:14:00
82305,90236,2021-04-04,2021-04-04,823,IC 8,1.0,9.0,BN,ZUE,15:02:46,15:02:30,2021-04-04 15:57:23,2021-04-04 15:58:00
