,BR,VI,FR,SP,TH,BN,ZUE,ZFH,W,FF,WF,AW,RH,BR_days_before_last_booking,VI_days_before_last_booking,FR_days_before_last_booking,SP_days_before_last_booking,TH_days_before_last_booking,BN_days_before_last_booking,ZUE_days_before_last_booking,ZFH_days_before_last_booking,W_days_before_last_booking,FF_days_before_last_booking,WF_days_before_last_booking,AW_days_before_last_booking,RH_days_before_last_booking,capacity
2021-03-26,1,1,1,1,0,4,3,3,2,0,0,0,0,3,3,3,3,-1,0,0,0,0,-1,-1,-1,-1,9
2021-04-02,0,0,0,1,1,1,1,1,1,1,0,2,0,-1,-1,-1,0,0,0,0,0,0,0,-1,0,-1,9
2021-04-03,0,0,0,0,0,1,1,1,1,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,9
2021-04-04,1,2,2,2,2,6,1,0,0,0,0,0,0,1,1,1,1,1,0,0,-1,-1,-1,-1,-1,-1,9
2021-04-05,3,5,5,5,5,6,3,3,3,0,2,1,0,0,0,0,0,0,0,1,1,1,-1,0,0,-1,9
2021-04-09,0,2,2,2,2,3,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,9
2021-04-10,0,2,2,1,1,1,1,1,1,0,1,1,0,-1,0,0,1,1,2,2,2,2,-1,0,0,-1,9
2021-04-11,0,2,2,2,3,4,3,2,2,3,3,3,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-04-16,3,5,5,7,8,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-04-17,1,3,3,2,2,5,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-04-18,0,1,1,2,2,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,9
2021-04-23,1,1,1,2,2,4,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,-1,9
