,res_id,res_dt,date,train_nr,line,reserved,capacity,bp_from,bp_to,dep_ist,dep_soll,arr_ist,arr_soll
76864,83970,2021-03-17,2021-03-21,833,IC 8,1.0,11.0,ZUE,W,21:05:28,21:05:30,2021-03-21 21:29:13,2021-03-21 21:29:00
76865,83971,2021-03-17,2021-03-21,833,IC 8,1.0,11.0,ZUE,W,21:05:28,21:05:30,2021-03-21 21:29:13,2021-03-21 21:29:00
76866,83972,2021-03-19,2021-03-21,833,IC 8,1.0,11.0,VI,ZUE,18:58:34,18:57:48,2021-03-21 20:57:33,2021-03-21 20:58:00
76867,83973,2021-03-20,2021-03-21,833,IC 8,1.0,11.0,BR,BN,18:48:40,18:48:30,2021-03-21 19:55:50,2021-03-21 19:55:00
76868,83974,2021-03-20,2021-03-21,833,IC 8,1.0,11.0,BR,BN,18:48:40,18:48:30,2021-03-21 19:55:50,2021-03-21 19:55:00
76869,83975,2021-03-21,2021-03-21,833,IC 8,1.0,11.0,VI,BN,18:58:34,18:57:48,2021-03-21 19:55:50,2021-03-21 19:55:00
77646,84808,2021-03-26,2021-03-26,833,IC 8,1.0,9.0,BN,ZUE,20:03:09,20:02:30,2021-03-26 20:57:36,2021-03-26 20:58:00
78124,85889,2021-03-28,2021-03-28,833,IC 8,2.0,14.0,ZUE,W,21:05:30,21:05:30,2021-03-28 21:31:10,2021-03-28 21:29:00
80142,88053,2021-03-26,2021-04-02,833,IC 8,1.0,9.0,BR,FF,19:07:30,18:48:30,2021-04-02 21:41:16,2021-04-02 21:41:30
80143,88054,2021-04-02,2021-04-02,833,IC 8,1.0,9.0,ZUE,RH,21:06:49,21:05:30,2021-04-02 22:11:42,2021-04-02 22:12:00
81393,89312,2021-04-03,2021-04-03,833,IC 8,1.0,9.0,BR,BN,18:49:15,18:48:30,2021-04-03 19:55:11,2021-04-03 19:55:00
81394,89313,2021-04-03,2021-04-03,833,IC 8,1.0,9.0,VI,ZUE,18:58:10,18:57:48,2021-04-03 20:57:56,2021-04-03 20:58:00
81395,89314,2021-04-03,2021-04-03,833,IC 8,1.0,9.0,BN,ZUE,20:03:25,20:02:30,2021-04-03 20:57:56,2021-04-03 20:58:00
81396,89315,2021-04-03,2021-04-03,833,IC 8,1.0,9.0,VI,ZUE,18:58:10,18:57:48,2021-04-03 20:57:56,2021-04-03 20:58:00
81397,89316,2021-04-03,2021-04-03,833,IC 8,1.0,9.0,BN,FF,20:03:25,20:02:30,2021-04-03 21:41:50,2021-04-03 21:41:30
81398,89317,2021-04-03,2021-04-03,833,IC 8,1.0,9.0,ZUE,W,21:05:36,21:05:30,2021-04-03 21:29:30,2021-04-03 21:29:00
81399,89318,2021-04-03,2021-04-03,833,IC 8,1.0,9.0,ZUE,W,21:05:36,21:05:30,2021-04-03 21:29:30,2021-04-03 21:29:00
82398,90329,2021-03-26,2021-04-04,833,IC 8,1.0,9.0,BR,FF,18:48:25,18:48:30,2021-04-04 21:42:35,2021-04-04 21:41:30
82399,90330,2021-04-04,2021-04-04,833,IC 8,1.0,9.0,VI,BN,18:57:34,18:57:48,2021-04-04 19:54:04,2021-04-04 19:55:00
