,BR,VI,FR,SP,TH,BN,ZUE,ZFH,W,FF,WF,AW,RH,BR_days_before_last_booking,VI_days_before_last_booking,FR_days_before_last_booking,SP_days_before_last_booking,TH_days_before_last_booking,BN_days_before_last_booking,ZUE_days_before_last_booking,ZFH_days_before_last_booking,W_days_before_last_booking,FF_days_before_last_booking,WF_days_before_last_booking,AW_days_before_last_booking,RH_days_before_last_booking,capacity
2021-03-21,0,0,0,1,2,1,1,1,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1,17
2021-03-26,0,0,0,0,0,1,1,1,1,1,1,1,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,17
2021-04-02,0,3,3,3,5,1,2,2,2,2,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,-1,17
2021-04-03,0,0,0,0,2,6,2,2,1,1,1,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,9
2021-04-04,1,3,3,3,4,4,1,1,1,1,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-04-05,2,9,9,9,11,14,8,8,5,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,17
2021-04-09,0,0,0,0,0,0,0,1,1,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,17
2021-04-10,0,2,2,2,3,5,1,1,1,0,0,0,0,-1,0,0,0,0,0,5,5,5,-1,-1,-1,-1,9
2021-04-11,1,2,2,2,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,-1,-1,-1,-1,-1,17
2021-04-16,1,4,4,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,17
2021-04-17,0,3,3,3,2,3,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,9
2021-04-18,0,3,3,3,3,4,3,3,1,1,1,1,0,-1,1,1,1,1,0,1,1,1,1,1,1,-1,17
2021-04-23,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,-1,-1,-1,-1,-1,17
2021-04-24,0,0,0,0,1,9,2,1,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,9
2021-04-25,3,5,5,5,6,7,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,17
2021-04-30,1,4,4,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,17
2021-05-02,0,2,2,3,4,3,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,17
2021-05-07,0,2,2,2,2,2,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,17
2021-05-08,0,2,2,2,2,6,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,9
2021-05-09,0,7,7,6,10,15,3,3,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,17
2021-05-21,2,5,5,5,4,3,3,3,3,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,-1,17
2021-05-22,2,6,6,7,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,9
2021-05-23,6,6,6,5,5,5,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-05-24,3,12,12,12,12,10,2,2,0,0,0,0,0,1,0,0,0,0,1,1,1,-1,-1,-1,-1,-1,17
2021-05-28,3,6,6,6,7,5,2,2,4,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,17
2021-05-29,0,4,4,3,4,4,0,0,0,0,0,0,0,-1,1,1,2,0,0,-1,-1,-1,-1,-1,-1,-1,9
2021-05-30,6,15,15,14,15,13,4,4,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,17
2021-06-04,1,1,1,1,3,6,2,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,-1,17
2021-06-05,1,2,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,9
2021-06-11,2,4,4,5,6,5,4,4,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,-1,17
2021-06-12,4,8,8,8,9,8,4,4,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-06-13,3,8,8,9,14,13,5,5,5,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,17
2021-06-18,1,5,5,5,5,5,5,5,4,4,4,4,0,0,0,0,0,0,0,0,0,3,3,3,3,-1,17
2021-06-19,3,5,5,4,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,9
2021-06-20,3,10,10,10,6,11,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,17
2021-06-25,2,6,6,6,6,7,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,19
2021-06-26,1,5,5,6,5,6,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,9
