,res_id,res_dt,date,train_nr,line,reserved,capacity,bp_from,bp_to,dep_ist,dep_soll,arr_ist,arr_soll
76851,83957,2021-03-21,2021-03-21,827,IC 8,1.0,17.0,SP,TH,16:26:15,16:25:42,2021-03-21 16:34:55,2021-03-21 16:34:36
76852,83958,2021-03-21,2021-03-21,827,IC 8,1.0,17.0,BN,W,17:03:36,17:02:30,2021-03-21 18:29:11,2021-03-21 18:29:00
76853,83959,2021-03-21,2021-03-21,827,IC 8,1.0,17.0,TH,BN,16:36:34,16:36:24,2021-03-21 16:55:07,2021-03-21 16:56:00
76854,83960,2021-03-21,2021-03-21,827,IC 8,1.0,17.0,TH,BN,16:36:34,16:36:24,2021-03-21 16:55:07,2021-03-21 16:56:00
77634,84796,2021-03-26,2021-03-26,827,IC 8,1.0,17.0,BN,ZUE,17:03:25,17:02:30,2021-03-26 17:57:20,2021-03-26 17:58:00
77635,84797,2021-03-26,2021-03-26,827,IC 8,1.0,17.0,ZUE,RH,18:05:56,18:05:30,2021-03-26 19:12:31,2021-03-26 19:12:00
80103,88014,2021-03-31,2021-04-02,827,IC 8,1.0,17.0,VI,BN,15:58:00,15:57:48,2021-04-02 16:56:33,2021-04-02 16:55:00
80104,88015,2021-04-02,2021-04-02,827,IC 8,1.0,17.0,VI,TH,15:58:00,15:57:48,2021-04-02 16:36:27,2021-04-02 16:34:36
80105,88016,2021-04-02,2021-04-02,827,IC 8,1.0,17.0,VI,TH,15:58:00,15:57:48,2021-04-02 16:36:27,2021-04-02 16:34:36
80106,88017,2021-04-02,2021-04-02,827,IC 8,1.0,17.0,TH,BN,16:38:08,16:36:24,2021-04-02 16:56:33,2021-04-02 16:55:00
80107,88018,2021-04-02,2021-04-02,827,IC 8,1.0,17.0,TH,BN,16:38:08,16:36:24,2021-04-02 16:56:33,2021-04-02 16:55:00
80108,88019,2021-04-02,2021-04-02,827,IC 8,1.0,17.0,TH,BN,16:38:08,16:36:24,2021-04-02 16:56:33,2021-04-02 16:55:00
80109,88020,2021-04-02,2021-04-02,827,IC 8,1.0,17.0,TH,ZUE,16:38:08,16:36:24,2021-04-02 17:58:03,2021-04-02 17:58:00
80110,88021,2021-04-02,2021-04-02,827,IC 8,1.0,17.0,ZUE,WF,18:05:47,18:05:30,2021-04-02 18:54:01,2021-04-02 18:53:36
