,BR,VI,FR,SP,TH,BN,ZUE,ZFH,W,FF,WF,AW,RH,BR_days_before_last_booking,VI_days_before_last_booking,FR_days_before_last_booking,SP_days_before_last_booking,TH_days_before_last_booking,BN_days_before_last_booking,ZUE_days_before_last_booking,ZFH_days_before_last_booking,W_days_before_last_booking,FF_days_before_last_booking,WF_days_before_last_booking,AW_days_before_last_booking,RH_days_before_last_booking,capacity
2021-03-21,0,0,0,0,0,3,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,9
2021-03-26,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,9
2021-03-28,0,0,0,0,0,0,4,4,5,5,3,3,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,22
2021-04-02,0,0,0,0,2,2,1,1,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,-1,9
2021-04-03,0,1,1,1,1,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,9
2021-04-04,0,0,0,1,2,8,5,4,6,6,4,4,0,-1,-1,-1,2,0,0,0,0,0,0,0,0,-1,9
2021-04-05,0,0,0,0,1,3,6,6,5,4,3,1,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,9
2021-04-09,0,1,1,1,1,4,2,2,2,2,1,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,11
2021-04-10,0,0,0,0,0,2,3,3,4,4,2,2,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,9
2021-04-11,0,0,0,0,1,1,2,2,1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,-1,-1,-1,-1,9
2021-04-16,0,0,0,0,0,1,1,1,2,2,1,1,0,-1,-1,-1,-1,-1,1,1,1,0,0,1,1,-1,9
2021-04-17,0,0,0,0,0,0,3,3,3,2,2,2,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,9
2021-04-18,0,2,2,2,2,5,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,9
2021-04-23,0,2,2,2,0,4,4,4,4,4,3,2,0,-1,1,1,1,-1,0,0,0,0,0,0,0,-1,9
2021-04-24,1,3,3,3,4,7,1,1,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-04-25,0,3,3,3,3,9,9,9,9,9,8,8,0,-1,2,2,2,2,0,0,0,1,1,1,1,-1,15
2021-04-30,1,2,2,2,2,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,9
2021-05-01,0,0,0,0,0,2,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,9
2021-05-02,0,0,0,0,0,2,1,1,1,1,1,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,9
2021-05-07,0,6,6,6,7,3,0,0,0,0,1,1,0,-1,0,0,0,0,0,-1,-1,-1,-1,0,0,-1,9
2021-05-08,1,1,1,1,0,2,5,5,4,4,4,5,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,9
2021-05-09,0,5,5,4,5,2,3,3,4,4,3,3,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,15
2021-05-21,3,5,5,5,5,7,0,0,0,0,1,0,0,1,1,1,1,1,0,-1,-1,-1,-1,0,-1,-1,9
2021-05-22,0,0,0,0,0,0,0,0,1,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,9
2021-05-23,0,1,1,1,0,2,3,3,4,1,0,0,0,-1,0,0,0,-1,0,0,0,0,0,-1,-1,-1,9
2021-05-24,0,1,1,1,1,5,4,4,1,0,1,1,0,-1,0,0,0,0,0,0,0,0,-1,1,1,-1,9
2021-05-28,0,0,0,0,2,5,4,4,4,4,2,2,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,9
