,res_id,res_dt,date,train_nr,line,reserved,capacity,bp_from,bp_to,dep_ist,dep_soll,arr_ist,arr_soll
0,0,2019-03-29,2019-04-01,510,IC 5,1.0,12.0,ZUE,NE,07:04:27,07:03:54,2019-04-01 08:33:13,2019-04-01 08:32:00
1,1,2019-04-01,2019-04-01,510,IC 5,1.0,12.0,BI,GE,08:17:34,08:16:18,2019-04-01 09:43:23,2019-04-01 09:45:00
204,209,2019-01-15,2019-04-06,510,IC 5,2.0,12.0,BI,GE,08:16:35,08:16:18,2019-04-06 09:42:36,2019-04-06 09:45:00
205,210,2019-01-16,2019-04-06,510,IC 5,1.0,12.0,BI,GE,08:16:35,08:16:18,2019-04-06 09:42:36,2019-04-06 09:45:00
298,305,2019-03-30,2019-04-07,510,IC 5,1.0,12.0,SO,GE,07:58:27,07:58:36,2019-04-07 09:42:48,2019-04-07 09:45:00
372,380,2019-04-08,2019-04-08,510,IC 5,1.0,12.0,ZUE,BI,07:10:09,07:03:54,2019-04-08 08:14:21,2019-04-08 08:13:00
561,569,2019-04-08,2019-04-11,510,IC 5,1.0,12.0,BI,NE,08:18:45,08:16:18,2019-04-11 08:34:03,2019-04-11 08:32:00
562,570,2019-04-10,2019-04-11,510,IC 5,2.0,12.0,BI,GE,08:18:45,08:16:18,2019-04-11 09:42:43,2019-04-11 09:45:00
626,634,2019-02-13,2019-04-12,510,IC 5,2.0,12.0,BI,GE,08:17:29,08:16:18,2019-04-12 09:42:51,2019-04-12 09:45:00
707,715,2019-04-01,2019-04-13,510,IC 5,1.0,12.0,SO,GE,07:58:43,07:58:36,2019-04-13 09:44:00,2019-04-13 09:45:00
708,716,2019-04-13,2019-04-13,510,IC 5,1.0,12.0,OL,GE,07:41:18,07:41:00,2019-04-13 09:44:00,2019-04-13 09:45:00
832,840,2019-02-20,2019-04-14,510,IC 5,2.0,12.0,BI,GE,08:16:58,08:16:18,2019-04-14 09:42:22,2019-04-14 09:45:00
833,841,2019-03-07,2019-04-14,510,IC 5,1.0,12.0,AA,GE,07:30:29,07:29:48,2019-04-14 09:42:22,2019-04-14 09:45:00
834,842,2019-02-20,2019-04-14,510,IC 5,2.0,12.0,BI,GE,08:16:58,08:16:18,2019-04-14 09:42:22,2019-04-14 09:45:00
936,946,2019-04-14,2019-04-15,510,IC 5,1.0,12.0,OL,SO,07:40:38,07:41:00,2019-04-15 07:57:57,2019-04-15 07:56:18
1075,1089,2019-04-09,2019-04-17,510,IC 5,2.0,12.0,ZUE,BI,07:03:27,07:03:54,2019-04-17 08:13:53,2019-04-17 08:13:00
1076,1090,2019-04-16,2019-04-17,510,IC 5,1.0,12.0,SO,GE,08:00:16,07:58:36,2019-04-17 09:47:29,2019-04-17 09:45:00
1176,1193,2019-03-24,2019-04-18,510,IC 5,2.0,12.0,NE,GE,08:35:38,08:34:18,2019-04-18 09:43:26,2019-04-18 09:45:00
