,res_id,res_dt,date,train_nr,line,reserved,capacity,bp_from,bp_to,dep_ist,dep_soll,arr_ist,arr_soll
76836,83942,2021-03-21,2021-03-21,818,IC 8,1.0,9.0,ZUE,BN,13:02:35,13:02:30,2021-03-21 13:57:00,2021-03-21 13:58:30
77607,84769,2021-03-25,2021-03-26,818,IC 8,1.0,9.0,ZUE,BN,13:02:32,13:02:30,2021-03-26 13:57:30,2021-03-26 13:58:30
77608,84770,2021-03-26,2021-03-26,818,IC 8,1.0,9.0,ZUE,BN,13:02:32,13:02:30,2021-03-26 13:57:30,2021-03-26 13:58:30
78105,85800,2021-03-28,2021-03-28,818,IC 8,1.0,18.0,RH,ZUE,11:48:38,11:48:30,2021-03-28 12:55:16,2021-03-28 12:55:00
80049,87960,2021-04-01,2021-04-02,818,IC 8,1.0,9.0,RH,BN,11:49:11,11:48:30,2021-04-02 13:57:05,2021-04-02 13:58:30
80050,87961,2021-04-01,2021-04-02,818,IC 8,1.0,9.0,RH,BN,11:49:11,11:48:30,2021-04-02 13:57:05,2021-04-02 13:58:30
80051,87962,2021-04-01,2021-04-02,818,IC 8,1.0,9.0,ZUE,BN,13:02:38,13:02:30,2021-04-02 13:57:05,2021-04-02 13:58:30
80052,87963,2021-04-01,2021-04-02,818,IC 8,1.0,9.0,ZUE,BN,13:02:38,13:02:30,2021-04-02 13:57:05,2021-04-02 13:58:30
80053,87964,2021-04-02,2021-04-02,818,IC 8,3.0,9.0,ZUE,BN,13:02:38,13:02:30,2021-04-02 13:57:05,2021-04-02 13:58:30
80054,87965,2021-04-02,2021-04-02,818,IC 8,1.0,9.0,ZUE,BN,13:02:38,13:02:30,2021-04-02 13:57:05,2021-04-02 13:58:30
80055,87966,2021-04-02,2021-04-02,818,IC 8,1.0,9.0,ZUE,BN,13:02:38,13:02:30,2021-04-02 13:57:05,2021-04-02 13:58:30
80056,87967,2021-04-02,2021-04-02,818,IC 8,1.0,9.0,WF,ZUE,12:06:23,12:06:36,2021-04-02 12:56:15,2021-04-02 12:55:00
80057,87968,2021-04-02,2021-04-02,818,IC 8,1.0,9.0,RH,W,11:49:11,11:48:30,2021-04-02 12:28:39,2021-04-02 12:29:06
80058,87969,2021-04-02,2021-04-02,818,IC 8,1.0,9.0,BN,BR,14:07:58,14:07:48,2021-04-02 15:11:08,2021-04-02 15:11:00
81296,89215,2021-04-01,2021-04-03,818,IC 8,1.0,9.0,ZUE,BN,13:02:27,13:02:30,2021-04-03 13:57:56,2021-04-03 13:58:30
81297,89216,2021-04-03,2021-04-03,818,IC 8,1.0,9.0,RH,ZUE,11:53:39,11:48:30,2021-04-03 12:54:03,2021-04-03 12:55:00
81298,89217,2021-04-03,2021-04-03,818,IC 8,1.0,9.0,RH,ZUE,11:53:39,11:48:30,2021-04-03 12:54:03,2021-04-03 12:55:00
81299,89218,2021-04-03,2021-04-03,818,IC 8,1.0,9.0,ZUE,BN,13:02:27,13:02:30,2021-04-03 13:57:56,2021-04-03 13:58:30
