,res_id,res_dt,date,train_nr,line,reserved,capacity,bp_from,bp_to,dep_ist,dep_soll,arr_ist,arr_soll
76863,83969,2021-03-21,2021-03-21,832,IC 8,1.0,9.0,AW,BN,18:54:48,18:55:00,2021-03-21 20:58:24,2021-03-21 20:58:30
77645,84807,2021-03-25,2021-03-26,832,IC 8,1.0,13.0,W,BN,19:31:44,19:31:30,2021-03-26 20:58:44,2021-03-26 20:58:30
77860,85227,2021-03-27,2021-03-27,832,IC 8,1.0,18.0,FF,ZFH,19:18:48,19:18:54,2021-03-27 19:43:44,2021-03-27 19:43:48
78123,85882,2021-03-28,2021-03-28,832,IC 8,1.0,24.0,FF,ZUE,19:18:31,19:18:54,2021-03-28 19:55:34,2021-03-28 19:55:00
80139,88050,2021-04-02,2021-04-02,832,IC 8,1.0,9.0,ZUE,BN,20:02:40,20:02:30,2021-04-02 21:00:03,2021-04-02 20:58:30
80140,88051,2021-04-02,2021-04-02,832,IC 8,1.0,9.0,RH,AW,18:48:54,18:48:30,2021-04-02 18:54:05,2021-04-02 18:53:30
80141,88052,2021-04-02,2021-04-02,832,IC 8,1.0,9.0,FF,BN,19:18:37,19:18:54,2021-04-02 21:00:03,2021-04-02 20:58:30
81392,89311,2021-04-03,2021-04-03,832,IC 8,1.0,9.0,FF,ZUE,19:18:22,19:18:54,2021-04-03 19:53:19,2021-04-03 19:55:00
82388,90319,2021-04-04,2021-04-04,832,IC 8,1.0,9.0,RH,BN,18:48:38,18:48:30,2021-04-04 20:58:35,2021-04-04 20:58:30
82389,90320,2021-04-04,2021-04-04,832,IC 8,1.0,9.0,RH,BN,18:48:38,18:48:30,2021-04-04 20:58:35,2021-04-04 20:58:30
82390,90321,2021-04-04,2021-04-04,832,IC 8,1.0,9.0,RH,W,18:48:38,18:48:30,2021-04-04 19:28:30,2021-04-04 19:29:06
82391,90322,2021-04-04,2021-04-04,832,IC 8,1.0,9.0,ZUE,BN,20:02:25,20:02:30,2021-04-04 20:58:35,2021-04-04 20:58:30
82392,90323,2021-04-04,2021-04-04,832,IC 8,1.0,9.0,ZUE,BN,20:02:25,20:02:30,2021-04-04 20:58:35,2021-04-04 20:58:30
82393,90324,2021-04-04,2021-04-04,832,IC 8,1.0,9.0,WF,W,19:06:31,19:06:36,2021-04-04 19:28:30,2021-04-04 19:29:06
82394,90325,2021-04-04,2021-04-04,832,IC 8,1.0,9.0,WF,W,19:06:31,19:06:36,2021-04-04 19:28:30,2021-04-04 19:29:06
