,res_id,res_dt,date,train_nr,line,reserved,capacity,bp_from,bp_to,dep_ist,dep_soll,arr_ist,arr_soll
76837,83943,2021-03-21,2021-03-21,820,IC 8,1.0,9.0,ZUE,BN,14:02:24,14:02:30,2021-03-21 14:58:35,2021-03-21 14:58:30
77611,84773,2021-03-26,2021-03-26,820,IC 8,1.0,9.0,ZUE,TH,14:02:19,14:02:30,2021-03-26 15:25:22,2021-03-26 15:25:30
77612,84774,2021-03-26,2021-03-26,820,IC 8,1.0,9.0,ZUE,BN,14:02:19,14:02:30,2021-03-26 14:58:12,2021-03-26 14:58:30
78106,85808,2021-03-26,2021-03-28,820,IC 8,1.0,18.0,FF,ZUE,13:18:43,13:18:54,2021-03-28 13:56:56,2021-03-28 13:55:00
78107,85809,2021-03-26,2021-03-28,820,IC 8,1.0,18.0,FF,ZUE,13:18:43,13:18:54,2021-03-28 13:56:56,2021-03-28 13:55:00
78108,85810,2021-03-26,2021-03-28,820,IC 8,1.0,18.0,FF,ZUE,13:18:43,13:18:54,2021-03-28 13:56:56,2021-03-28 13:55:00
80062,87973,2021-03-26,2021-04-02,820,IC 8,1.0,9.0,AW,ZUE,12:55:30,12:55:00,2021-04-02 13:54:14,2021-04-02 13:55:00
80063,87974,2021-04-01,2021-04-02,820,IC 8,1.0,9.0,WF,BN,13:06:20,13:06:36,2021-04-02 14:57:42,2021-04-02 14:58:30
80064,87975,2021-04-02,2021-04-02,820,IC 8,1.0,9.0,BN,BR,15:08:06,15:07:48,2021-04-02 16:10:46,2021-04-02 16:11:00
80065,87976,2021-04-02,2021-04-02,820,IC 8,1.0,9.0,TH,VI,15:27:02,15:27:30,2021-04-02 16:02:00,2021-04-02 16:02:00
80066,87977,2021-04-02,2021-04-02,820,IC 8,1.0,9.0,SP,VI,15:36:45,15:37:42,2021-04-02 16:02:00,2021-04-02 16:02:00
81313,89232,2021-04-03,2021-04-03,820,IC 8,3.0,9.0,BN,VI,15:07:39,15:07:48,2021-04-03 16:00:01,2021-04-03 16:02:00
81314,89233,2021-04-03,2021-04-03,820,IC 8,1.0,9.0,ZUE,VI,14:02:31,14:02:30,2021-04-03 16:00:01,2021-04-03 16:02:00
81315,89234,2021-04-03,2021-04-03,820,IC 8,1.0,9.0,RH,ZUE,12:48:52,12:48:30,2021-04-03 13:54:34,2021-04-03 13:55:00
81316,89235,2021-04-03,2021-04-03,820,IC 8,1.0,9.0,RH,ZUE,12:48:52,12:48:30,2021-04-03 13:54:34,2021-04-03 13:55:00
81317,89236,2021-04-03,2021-04-03,820,IC 8,3.0,9.0,W,BN,13:31:30,13:31:30,2021-04-03 14:56:58,2021-04-03 14:58:30
81318,89237,2021-04-03,2021-04-03,820,IC 8,1.0,9.0,TH,VI,15:27:16,15:27:30,2021-04-03 16:00:01,2021-04-03 16:02:00
82296,90227,2021-04-04,2021-04-04,820,IC 8,1.0,9.0,W,BN,13:31:39,13:31:30,2021-04-04 14:58:17,2021-04-04 14:58:30
83452,91397,2021-04-05,2021-04-05,820,IC 8,4.0,9.0,ZUE,BN,14:02:40,14:02:30,2021-04-05 14:58:09,2021-04-05 14:58:30
84977,92962,2021-04-09,2021-04-09,820,IC 8,1.0,9.0,ZUE,BN,14:02:45,14:02:30,2021-04-09 14:57:19,2021-04-09 14:58:30
85664,93687,2021-04-08,2021-04-10,820,IC 8,2.0,9.0,SP,VI,15:38:00,15:37:42,2021-04-10 16:01:50,2021-04-10 16:02:00
85665,93688,2021-04-09,2021-04-10,820,IC 8,1.0,9.0,ZUE,BN,14:02:28,14:02:30,2021-04-10 14:58:36,2021-04-10 14:58:30
85666,93689,2021-04-10,2021-04-10,820,IC 8,1.0,9.0,ZUE,VI,14:02:28,14:02:30,2021-04-10 16:01:50,2021-04-10 16:02:00
85667,93690,2021-04-10,2021-04-10,820,IC 8,1.0,9.0,RH,W,12:48:34,12:48:30,2021-04-10 13:29:06,2021-04-10 13:29:06
85668,93691,2021-04-10,2021-04-10,820,IC 8,1.0,9.0,BN,BR,15:09:48,15:07:48,2021-04-10 16:10:08,2021-04-10 16:11:00
86352,94425,2021-04-10,2021-04-11,820,IC 8,1.0,9.0,FF,BN,13:18:35,13:18:54,2021-04-11 14:58:09,2021-04-11 14:58:30
86353,94426,2021-04-10,2021-04-11,820,IC 8,5.0,9.0,RH,ZUE,12:48:38,12:48:30,2021-04-11 13:55:57,2021-04-11 13:55:00
86354,94427,2021-04-10,2021-04-11,820,IC 8,4.0,9.0,TH,VI,15:27:24,15:27:30,2021-04-11 15:59:14,2021-04-11 16:02:00
86355,94428,2021-04-11,2021-04-11,820,IC 8,3.0,9.0,RH,ZUE,12:48:38,12:48:30,2021-04-11 13:55:57,2021-04-11 13:55:00
87664,95858,2021-04-12,2021-04-16,820,IC 8,2.0,9.0,RH,BN,12:48:54,12:48:30,2021-04-16 14:57:47,2021-04-16 14:58:30
87665,95859,2021-04-13,2021-04-16,820,IC 8,4.0,9.0,ZUE,VI,14:02:23,14:02:30,2021-04-16 16:00:39,2021-04-16 16:02:00
87666,95860,2021-04-14,2021-04-16,820,IC 8,1.0,9.0,ZUE,BN,14:02:23,14:02:30,2021-04-16 14:57:47,2021-04-16 14:58:30
87667,95861,2021-04-14,2021-04-16,820,IC 8,1.0,9.0,ZUE,BN,14:02:23,14:02:30,2021-04-16 14:57:47,2021-04-16 14:58:30
87668,95862,2021-04-16,2021-04-16,820,IC 8,1.0,9.0,ZUE,BN,14:02:23,14:02:30,2021-04-16 14:57:47,2021-04-16 14:58:30
88446,96715,2021-04-17,2021-04-17,820,IC 8,1.0,9.0,RH,TH,12:48:40,12:48:30,2021-04-17 15:25:51,2021-04-17 15:25:30
88447,96716,2021-04-17,2021-04-17,820,IC 8,2.0,9.0,RH,BN,12:48:40,12:48:30,2021-04-17 15:02:31,2021-04-17 14:58:30
88448,96717,2021-04-17,2021-04-17,820,IC 8,1.0,9.0,ZUE,BN,14:04:44,14:02:30,2021-04-17 15:02:31,2021-04-17 14:58:30
88449,96718,2021-04-17,2021-04-17,820,IC 8,1.0,9.0,ZUE,BN,14:04:44,14:02:30,2021-04-17 15:02:31,2021-04-17 14:58:30
89235,97570,2021-04-17,2021-04-18,820,IC 8,1.0,9.0,ZUE,VI,14:02:32,14:02:30,2021-04-18 16:02:47,2021-04-18 16:02:00
89236,97571,2021-04-18,2021-04-18,820,IC 8,4.0,9.0,ZUE,BN,14:02:32,14:02:30,2021-04-18 14:58:07,2021-04-18 14:58:30
89237,97572,2021-04-18,2021-04-18,820,IC 8,1.0,9.0,RH,BN,12:48:55,12:48:30,2021-04-18 14:58:07,2021-04-18 14:58:30
89238,97573,2021-04-18,2021-04-18,820,IC 8,1.0,9.0,RH,BN,12:48:55,12:48:30,2021-04-18 14:58:07,2021-04-18 14:58:30
89239,97574,2021-04-18,2021-04-18,820,IC 8,1.0,9.0,ZUE,BN,14:02:32,14:02:30,2021-04-18 14:58:07,2021-04-18 14:58:30
89240,97575,2021-04-18,2021-04-18,820,IC 8,1.0,9.0,FF,W,13:18:46,13:18:54,2021-04-18 13:29:21,2021-04-18 13:29:06
90833,99327,2021-04-22,2021-04-23,820,IC 8,2.0,9.0,ZUE,BR,14:02:33,14:02:30,2021-04-23 16:10:51,2021-04-23 16:11:00
90834,99328,2021-04-22,2021-04-23,820,IC 8,1.0,9.0,ZUE,BN,14:02:33,14:02:30,2021-04-23 15:04:18,2021-04-23 14:58:30
90835,99329,2021-04-23,2021-04-23,820,IC 8,1.0,9.0,ZUE,TH,14:02:33,14:02:30,2021-04-23 15:27:15,2021-04-23 15:25:30
90836,99330,2021-04-23,2021-04-23,820,IC 8,1.0,9.0,BN,SP,15:09:25,15:07:48,2021-04-23 15:36:58,2021-04-23 15:36:00
90837,99331,2021-04-23,2021-04-23,820,IC 8,1.0,9.0,ZUE,BN,14:02:33,14:02:30,2021-04-23 15:04:18,2021-04-23 14:58:30
90838,99332,2021-04-23,2021-04-23,820,IC 8,1.0,9.0,ZUE,BN,14:02:33,14:02:30,2021-04-23 15:04:18,2021-04-23 14:58:30
90839,99333,2021-04-23,2021-04-23,820,IC 8,1.0,9.0,ZUE,BN,14:02:33,14:02:30,2021-04-23 15:04:18,2021-04-23 14:58:30
90840,99334,2021-04-23,2021-04-23,820,IC 8,1.0,9.0,ZUE,BN,14:02:33,14:02:30,2021-04-23 15:04:18,2021-04-23 14:58:30
90841,99335,2021-04-23,2021-04-23,820,IC 8,1.0,9.0,ZUE,BN,14:02:33,14:02:30,2021-04-23 15:04:18,2021-04-23 14:58:30
90842,99336,2021-04-23,2021-04-23,820,IC 8,1.0,9.0,VI,BR,16:04:28,16:04:30,2021-04-23 16:10:51,2021-04-23 16:11:00
91918,100549,2021-04-23,2021-04-24,820,IC 8,1.0,9.0,ZUE,BN,14:03:04,14:02:30,2021-04-24 14:58:58,2021-04-24 14:58:30
91919,100550,2021-04-24,2021-04-24,820,IC 8,1.0,9.0,ZUE,BN,14:03:04,14:02:30,2021-04-24 14:58:58,2021-04-24 14:58:30
91920,100551,2021-04-24,2021-04-24,820,IC 8,1.0,9.0,ZUE,BN,14:03:04,14:02:30,2021-04-24 14:58:58,2021-04-24 14:58:30
91921,100552,2021-04-24,2021-04-24,820,IC 8,1.0,9.0,ZUE,BN,14:03:04,14:02:30,2021-04-24 14:58:58,2021-04-24 14:58:30
91922,100553,2021-04-24,2021-04-24,820,IC 8,1.0,9.0,ZUE,BN,14:03:04,14:02:30,2021-04-24 14:58:58,2021-04-24 14:58:30
91923,100554,2021-04-24,2021-04-24,820,IC 8,1.0,9.0,ZUE,BN,14:03:04,14:02:30,2021-04-24 14:58:58,2021-04-24 14:58:30
91924,100555,2021-04-24,2021-04-24,820,IC 8,1.0,9.0,ZUE,BN,14:03:04,14:02:30,2021-04-24 14:58:58,2021-04-24 14:58:30
91925,100556,2021-04-24,2021-04-24,820,IC 8,1.0,9.0,BN,TH,15:08:00,15:07:48,2021-04-24 15:25:46,2021-04-24 15:25:30
93165,101948,2021-04-16,2021-04-25,820,IC 8,1.0,9.0,ZUE,TH,14:02:34,14:02:30,2021-04-25 15:28:00,2021-04-25 15:25:30
93166,101949,2021-04-16,2021-04-25,820,IC 8,1.0,9.0,ZUE,TH,14:02:34,14:02:30,2021-04-25 15:28:00,2021-04-25 15:25:30
93167,101950,2021-04-18,2021-04-25,820,IC 8,4.0,9.0,ZUE,BN,14:02:34,14:02:30,2021-04-25 14:58:42,2021-04-25 14:58:30
93168,101951,2021-04-25,2021-04-25,820,IC 8,1.0,9.0,FF,BN,13:19:02,13:18:54,2021-04-25 14:58:42,2021-04-25 14:58:30
93169,101952,2021-04-25,2021-04-25,820,IC 8,1.0,9.0,ZUE,BN,14:02:34,14:02:30,2021-04-25 14:58:42,2021-04-25 14:58:30
93170,101953,2021-04-25,2021-04-25,820,IC 8,1.0,9.0,ZUE,BN,14:02:34,14:02:30,2021-04-25 14:58:42,2021-04-25 14:58:30
93171,101954,2021-04-25,2021-04-25,820,IC 8,1.0,9.0,SP,VI,15:39:33,15:37:42,2021-04-25 16:02:50,2021-04-25 16:02:00
93172,101955,2021-04-25,2021-04-25,820,IC 8,1.0,9.0,SP,VI,15:39:33,15:37:42,2021-04-25 16:02:50,2021-04-25 16:02:00
93173,101956,2021-04-25,2021-04-25,820,IC 8,1.0,9.0,SP,VI,15:39:33,15:37:42,2021-04-25 16:02:50,2021-04-25 16:02:00
94734,103701,2021-04-28,2021-04-30,820,IC 8,1.0,9.0,BN,VI,15:07:39,15:07:48,2021-04-30 16:03:02,2021-04-30 16:02:00
94735,103702,2021-04-30,2021-04-30,820,IC 8,1.0,9.0,ZUE,BN,14:02:25,14:02:30,2021-04-30 14:57:37,2021-04-30 14:58:30
94736,103703,2021-04-30,2021-04-30,820,IC 8,1.0,9.0,BN,BR,15:07:39,15:07:48,2021-04-30 16:13:07,2021-04-30 16:11:00
94737,103704,2021-04-30,2021-04-30,820,IC 8,1.0,9.0,BN,VI,15:07:39,15:07:48,2021-04-30 16:03:02,2021-04-30 16:02:00
95257,104252,2021-05-01,2021-05-01,820,IC 8,1.0,9.0,ZUE,BN,14:02:39,14:02:30,2021-05-01 14:57:42,2021-05-01 14:58:30
95765,104790,2021-05-02,2021-05-02,820,IC 8,1.0,9.0,ZUE,BR,14:02:27,14:02:30,2021-05-02 16:09:24,2021-05-02 16:11:00
95766,104791,2021-05-02,2021-05-02,820,IC 8,1.0,9.0,ZUE,BR,14:02:27,14:02:30,2021-05-02 16:09:24,2021-05-02 16:11:00
95767,104792,2021-05-02,2021-05-02,820,IC 8,1.0,9.0,ZUE,BR,14:02:27,14:02:30,2021-05-02 16:09:24,2021-05-02 16:11:00
95768,104793,2021-05-02,2021-05-02,820,IC 8,1.0,9.0,ZUE,BR,14:02:27,14:02:30,2021-05-02 16:09:24,2021-05-02 16:11:00
95769,104794,2021-05-02,2021-05-02,820,IC 8,1.0,9.0,ZUE,BN,14:02:27,14:02:30,2021-05-02 14:59:22,2021-05-02 14:58:30
97133,106206,2021-05-07,2021-05-07,820,IC 8,1.0,9.0,ZUE,BN,14:02:19,14:02:30,2021-05-07 14:58:04,2021-05-07 14:58:30
