,BR,VI,FR,SP,TH,BN,ZUE,ZFH,W,FF,WF,AW,RH,BR_days_before_last_booking,VI_days_before_last_booking,FR_days_before_last_booking,SP_days_before_last_booking,TH_days_before_last_booking,BN_days_before_last_booking,ZUE_days_before_last_booking,ZFH_days_before_last_booking,W_days_before_last_booking,FF_days_before_last_booking,WF_days_before_last_booking,AW_days_before_last_booking,RH_days_before_last_booking,capacity
2021-03-21,1,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,9
2021-03-26,0,0,0,0,0,4,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,11
2021-03-27,0,0,0,0,0,0,1,1,1,1,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,18
2021-03-28,0,0,0,0,0,0,3,3,3,3,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,23
2021-04-02,0,1,1,1,0,0,7,7,7,5,5,4,0,-1,0,0,0,-1,-1,0,0,0,0,0,0,-1,9
2021-04-03,0,3,3,3,3,4,0,0,2,0,0,0,0,-1,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1,9
2021-04-04,0,0,0,0,1,6,5,5,8,8,5,5,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,9
2021-04-05,1,1,1,1,2,8,3,3,3,4,4,4,0,0,0,0,0,0,0,1,1,1,0,0,0,-1,9
2021-04-10,0,0,0,0,0,6,2,2,2,2,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,-1,-1,-1,9
2021-04-11,0,2,2,2,2,8,9,9,9,7,4,4,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-04-16,0,0,0,1,1,3,2,2,2,2,2,2,0,-1,-1,-1,1,1,0,0,0,0,0,0,0,-1,11
2021-04-17,0,0,0,0,0,1,2,2,3,1,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,-1,-1,-1,9
2021-04-18,1,1,1,1,1,9,5,5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,9
2021-04-23,1,1,1,3,4,7,6,6,6,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,11
2021-04-24,0,0,0,0,1,2,3,4,8,7,7,6,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,9
2021-04-25,1,2,2,3,2,7,6,6,8,9,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-04-30,0,0,0,0,1,2,1,1,2,0,0,0,0,-1,-1,-1,-1,0,0,1,1,0,-1,-1,-1,-1,11
2021-05-01,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,9
2021-05-02,0,0,0,0,0,2,0,0,1,1,1,1,0,-1,-1,-1,-1,-1,0,-1,-1,0,0,0,0,-1,9
2021-05-07,0,3,3,3,2,3,2,2,2,2,2,2,0,-1,0,0,0,0,0,1,1,1,1,1,1,-1,11
2021-05-08,2,2,2,2,2,4,8,8,8,8,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-05-09,0,2,2,1,2,4,6,6,8,7,7,3,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-05-21,4,6,6,6,6,8,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1,13
2021-05-22,0,0,0,0,3,6,2,2,2,5,5,4,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,9
2021-05-23,4,4,4,4,4,3,1,1,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-05-24,1,1,1,1,2,3,0,0,0,0,0,0,0,3,3,3,3,1,0,-1,-1,-1,-1,-1,-1,-1,9
2021-05-28,0,0,0,0,0,0,1,1,3,3,3,2,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,18
2021-05-29,0,0,0,0,0,5,4,4,4,3,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,-1,-1,-1,9
2021-05-30,1,3,3,3,4,5,1,1,4,5,6,6,0,0,0,0,0,0,0,5,5,0,0,0,0,-1,9
2021-06-04,1,2,2,2,4,2,3,3,5,5,5,5,0,0,0,0,0,0,2,0,0,0,0,0,0,-1,11
2021-06-05,2,3,3,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,9
2021-06-11,0,7,7,4,5,3,3,3,3,4,4,3,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,11
2021-06-12,0,2,2,2,2,1,1,1,2,1,1,1,0,-1,0,0,0,0,1,1,1,1,1,1,1,-1,9
2021-06-13,0,3,3,3,1,4,6,6,9,7,5,5,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-06-18,1,3,3,3,4,7,3,3,0,0,0,0,0,1,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,11
2021-06-19,0,0,0,0,3,1,1,1,1,1,1,1,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,9
2021-06-20,0,0,0,0,1,4,6,6,7,6,4,4,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,9
2021-06-25,5,7,7,7,7,6,3,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,11
2021-06-26,0,2,2,2,3,5,3,3,2,3,3,3,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-06-27,0,4,4,4,4,4,5,5,5,5,3,3,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-07-02,6,6,6,6,6,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,11
2021-07-03,0,2,2,2,2,8,3,3,3,3,3,2,0,-1,1,1,1,1,0,0,0,0,0,0,0,-1,9
2021-07-04,1,3,3,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,9
2021-07-09,2,6,6,6,4,3,1,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,11
2021-07-10,0,4,4,2,2,1,2,2,2,2,2,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-07-11,2,3,3,3,7,9,7,7,9,9,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-07-16,6,8,8,8,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,11
2021-07-17,1,1,1,1,1,6,3,3,3,2,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,-1,9
2021-07-18,2,3,3,4,5,6,3,3,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-07-23,3,6,6,6,5,6,1,1,1,0,1,1,0,1,0,0,0,1,1,3,3,3,-1,0,0,-1,11
2021-07-24,1,2,2,2,4,7,4,4,4,7,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,18
2021-07-25,0,1,1,1,0,4,0,0,1,1,1,1,0,-1,0,0,0,-1,0,-1,-1,0,0,0,0,-1,9
2021-07-30,1,3,3,4,7,4,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,-1,11
2021-07-31,0,0,0,1,1,6,3,3,4,4,2,2,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,-1,15
2021-08-01,0,2,2,2,3,6,1,1,1,1,1,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-08-06,1,9,9,4,7,9,0,0,1,1,1,1,0,0,0,0,1,0,0,-1,-1,0,0,0,0,-1,11
2021-08-07,5,9,9,5,8,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,17
2021-08-08,0,1,1,1,1,7,4,4,4,4,1,1,0,-1,1,1,1,1,0,0,0,0,0,2,2,-1,9
2021-08-13,2,4,4,5,5,8,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,11
2021-08-14,1,1,1,1,1,4,3,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,15
2021-08-15,0,3,3,0,1,8,3,3,5,1,0,0,0,-1,0,0,-1,0,0,0,0,0,0,-1,-1,-1,9
2021-08-20,5,8,8,8,10,9,4,4,4,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,11
2021-08-21,0,0,0,0,1,1,2,2,5,5,4,4,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,9
2021-08-22,0,0,0,0,1,7,6,6,6,4,4,3,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,15
2021-08-27,1,8,8,9,8,8,1,0,0,0,0,0,0,88,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,11
