,res_id,res_dt,date,train_nr,line,reserved,capacity,bp_from,bp_to,dep_ist,dep_soll,arr_ist,arr_soll
80145,88056,2021-04-02,2021-04-02,835,IC 8,1.0,9.0,BR,BN,19:49:06,19:48:30,2021-04-02 20:55:11,2021-04-02 20:55:00
80146,88057,2021-04-02,2021-04-02,835,IC 8,1.0,9.0,VI,BN,19:58:36,19:57:48,2021-04-02 20:55:11,2021-04-02 20:55:00
80147,88058,2021-04-02,2021-04-02,835,IC 8,1.0,9.0,VI,BN,19:58:36,19:57:48,2021-04-02 20:55:11,2021-04-02 20:55:00
81400,89319,2021-04-03,2021-04-03,835,IC 8,1.0,9.0,VI,BN,19:57:44,19:57:48,2021-04-03 20:54:27,2021-04-03 20:55:00
81401,89320,2021-04-03,2021-04-03,835,IC 8,1.0,9.0,VI,ZUE,19:57:44,19:57:48,2021-04-03 22:03:21,2021-04-03 21:58:00
81402,89321,2021-04-03,2021-04-03,835,IC 8,2.0,9.0,VI,ZUE,19:57:44,19:57:48,2021-04-03 22:03:21,2021-04-03 21:58:00
81403,89322,2021-04-03,2021-04-03,835,IC 8,1.0,9.0,VI,ZUE,19:57:44,19:57:48,2021-04-03 22:03:21,2021-04-03 21:58:00
81404,89323,2021-04-03,2021-04-03,835,IC 8,1.0,9.0,VI,ZUE,19:57:44,19:57:48,2021-04-03 22:03:21,2021-04-03 21:58:00
82410,90341,2021-04-03,2021-04-04,835,IC 8,1.0,9.0,VI,ZUE,19:57:47,19:57:48,2021-04-04 21:58:18,2021-04-04 21:58:00
82411,90342,2021-04-04,2021-04-04,835,IC 8,2.0,9.0,ZUE,W,22:05:34,22:05:30,2021-04-04 22:29:30,2021-04-04 22:29:00
82412,90343,2021-04-04,2021-04-04,835,IC 8,1.0,9.0,BR,TH,19:48:46,19:48:30,2021-04-04 20:33:23,2021-04-04 20:34:36
82413,90344,2021-04-04,2021-04-04,835,IC 8,1.0,9.0,BR,TH,19:48:46,19:48:30,2021-04-04 20:33:23,2021-04-04 20:34:36
82414,90345,2021-04-04,2021-04-04,835,IC 8,1.0,9.0,BR,ZUE,19:48:46,19:48:30,2021-04-04 21:58:18,2021-04-04 21:58:00
82415,90346,2021-04-04,2021-04-04,835,IC 8,1.0,9.0,TH,ZUE,20:35:17,20:36:24,2021-04-04 21:58:18,2021-04-04 21:58:00
82416,90347,2021-04-04,2021-04-04,835,IC 8,1.0,9.0,TH,ZUE,20:35:17,20:36:24,2021-04-04 21:58:18,2021-04-04 21:58:00
82417,90348,2021-04-04,2021-04-04,835,IC 8,1.0,9.0,SP,BN,20:24:14,20:25:42,2021-04-04 20:54:10,2021-04-04 20:55:00
83573,91518,2021-04-04,2021-04-05,835,IC 8,1.0,9.0,VI,ZUE,19:57:32,19:57:48,2021-04-05 22:03:15,2021-04-05 21:58:00
83574,91519,2021-04-04,2021-04-05,835,IC 8,1.0,9.0,VI,ZUE,19:57:32,19:57:48,2021-04-05 22:03:15,2021-04-05 21:58:00
83575,91520,2021-04-05,2021-04-05,835,IC 8,1.0,9.0,BR,ZUE,19:48:49,19:48:30,2021-04-05 22:03:15,2021-04-05 21:58:00
83576,91521,2021-04-05,2021-04-05,835,IC 8,1.0,9.0,VI,BN,19:57:32,19:57:48,2021-04-05 20:54:30,2021-04-05 20:55:00
83577,91522,2021-04-05,2021-04-05,835,IC 8,1.0,9.0,VI,BN,19:57:32,19:57:48,2021-04-05 20:54:30,2021-04-05 20:55:00
83578,91523,2021-04-05,2021-04-05,835,IC 8,1.0,9.0,VI,BN,19:57:32,19:57:48,2021-04-05 20:54:30,2021-04-05 20:55:00
86453,94526,2021-04-11,2021-04-11,835,IC 8,1.0,9.0,VI,BN,20:01:27,19:57:48,2021-04-11 20:56:03,2021-04-11 20:55:00
86454,94527,2021-04-11,2021-04-11,835,IC 8,1.0,9.0,VI,ZUE,20:01:27,19:57:48,2021-04-11 22:02:23,2021-04-11 21:58:00
88517,96787,2021-04-16,2021-04-17,835,IC 8,1.0,9.0,BR,TH,19:48:36,19:48:30,2021-04-17 20:33:24,2021-04-17 20:34:36
88518,96788,2021-04-17,2021-04-17,835,IC 8,1.0,9.0,VI,BN,19:59:41,19:57:48,2021-04-17 20:56:06,2021-04-17 20:55:00
88519,96789,2021-04-17,2021-04-17,835,IC 8,1.0,9.0,VI,ZUE,19:59:41,19:57:48,2021-04-17 21:58:35,2021-04-17 21:58:00
88520,96790,2021-04-17,2021-04-17,835,IC 8,1.0,9.0,BN,ZUE,21:02:41,21:02:30,2021-04-17 21:58:35,2021-04-17 21:58:00
89327,97664,2021-04-18,2021-04-18,835,IC 8,1.0,9.0,VI,BN,19:59:56,19:57:48,2021-04-18 20:54:34,2021-04-18 20:55:00
