,BR,VI,FR,SP,TH,BN,ZUE,ZFH,W,FF,WF,AW,RH,BR_days_before_last_booking,VI_days_before_last_booking,FR_days_before_last_booking,SP_days_before_last_booking,TH_days_before_last_booking,BN_days_before_last_booking,ZUE_days_before_last_booking,ZFH_days_before_last_booking,W_days_before_last_booking,FF_days_before_last_booking,WF_days_before_last_booking,AW_days_before_last_booking,RH_days_before_last_booking,capacity
2021-03-21,0,1,1,2,2,4,2,2,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,9
2021-03-26,1,1,1,1,1,2,3,3,2,2,0,0,0,4,4,4,4,4,0,0,0,0,0,-1,-1,-1,13
2021-04-02,0,1,1,1,1,0,1,2,2,2,1,0,0,-1,2,2,2,2,-1,0,0,0,0,0,-1,-1,9
2021-04-03,1,2,2,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,9
2021-04-04,2,5,5,8,8,7,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,9
2021-04-05,4,5,5,5,6,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,13
2021-04-09,0,0,0,0,0,2,4,4,4,3,2,2,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,11
2021-04-10,1,5,5,5,5,5,3,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-04-11,0,1,1,2,4,3,2,1,1,1,1,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-04-16,0,0,0,0,0,0,5,5,6,6,6,4,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,11
2021-04-17,1,2,2,2,2,5,4,4,4,4,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,-1,9
2021-04-18,0,3,3,4,3,4,1,1,1,1,1,1,0,-1,0,0,0,0,0,2,2,2,2,2,2,-1,9
2021-04-23,0,1,1,1,3,1,1,1,1,1,1,0,0,-1,0,0,0,0,1,1,1,1,1,1,-1,-1,11
2021-04-24,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,9
2021-04-25,0,1,1,1,1,8,3,3,1,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,-1,-1,9
2021-04-30,0,3,3,3,3,1,0,0,0,0,0,0,0,-1,0,0,0,0,2,-1,-1,-1,-1,-1,-1,-1,11
2021-05-01,0,0,0,0,0,3,2,1,2,1,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,-1,-1,-1,9
2021-05-02,0,0,0,0,0,1,1,1,1,1,1,1,0,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,-1,9
2021-05-07,0,2,2,2,2,3,2,2,2,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,-1,-1,11
2021-05-08,1,4,4,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,9
