,BR,VI,FR,SP,TH,BN,ZUE,ZFH,W,FF,WF,AW,RH,BR_days_before_last_booking,VI_days_before_last_booking,FR_days_before_last_booking,SP_days_before_last_booking,TH_days_before_last_booking,BN_days_before_last_booking,ZUE_days_before_last_booking,ZFH_days_before_last_booking,W_days_before_last_booking,FF_days_before_last_booking,WF_days_before_last_booking,AW_days_before_last_booking,RH_days_before_last_booking,capacity
2021-03-21,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,9
2021-03-26,0,0,0,0,0,2,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,9
2021-03-28,0,0,0,0,0,0,1,1,1,1,1,1,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,18
2021-04-02,1,1,1,1,1,7,3,3,4,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-04-03,0,0,0,0,0,3,3,3,3,2,2,2,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,9
2021-04-04,0,2,2,2,2,3,1,1,1,1,1,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-04-05,0,1,1,1,1,6,5,5,4,4,3,3,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-04-10,0,0,0,0,0,2,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,9
2021-04-11,0,0,0,0,2,5,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,9
2021-04-16,0,0,0,0,0,2,1,1,1,1,1,1,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,9
2021-04-17,0,0,0,2,2,7,5,5,4,4,4,4,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,-1,9
2021-04-18,1,4,4,4,4,6,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,-1,9
2021-04-23,0,0,0,0,0,5,2,2,2,2,0,0,0,-1,-1,-1,-1,-1,0,1,1,1,1,-1,-1,-1,9
2021-04-24,0,1,1,1,2,7,2,2,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,9
2021-04-25,0,0,0,0,0,2,0,0,1,1,0,0,0,-1,-1,-1,-1,-1,0,-1,-1,0,0,-1,-1,-1,9
2021-04-30,0,1,1,1,1,4,2,2,2,1,1,0,0,-1,0,0,0,0,0,0,0,0,1,1,-1,-1,9
2021-05-01,1,1,1,1,1,4,3,3,2,2,2,2,0,0,0,0,21,21,0,0,0,0,0,0,0,-1,9
2021-05-02,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,9
2021-05-07,0,1,1,1,1,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,9
2021-05-08,0,2,2,2,4,2,3,3,2,1,1,1,0,-1,0,0,0,0,0,0,0,1,5,5,5,-1,9
2021-05-09,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,9
2021-05-21,0,2,2,2,2,3,3,4,4,2,2,2,0,-1,2,2,2,2,1,0,0,0,0,0,0,-1,9
2021-05-22,1,3,3,3,5,8,1,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-05-23,1,4,4,4,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,9
2021-05-24,3,5,5,5,4,9,3,3,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-05-28,1,1,1,2,1,5,3,3,3,3,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,9
2021-05-29,3,5,5,2,3,6,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,9
2021-05-30,0,0,0,0,0,5,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,18
2021-06-04,1,4,4,1,1,2,0,0,0,0,0,0,0,3,0,0,3,3,0,-1,-1,-1,-1,-1,-1,-1,9
2021-06-05,2,4,4,3,4,5,3,2,3,3,2,2,0,0,0,0,0,0,0,0,1,0,0,1,1,-1,9
2021-06-11,1,3,3,3,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,-1,-1,-1,-1,9
2021-06-12,1,3,3,1,2,5,5,5,5,3,3,3,0,0,0,0,0,0,0,0,0,0,1,1,1,-1,9
2021-06-13,2,2,2,2,2,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,9
2021-06-18,1,3,3,3,4,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-06-19,0,0,0,0,0,0,1,1,2,2,1,1,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,9
2021-06-20,1,4,4,2,4,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,9
2021-06-26,3,5,5,5,7,6,3,3,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,19,-1,9
2021-06-27,0,2,2,2,2,4,0,0,1,1,1,0,0,-1,2,2,2,2,0,-1,-1,0,0,0,-1,-1,9
2021-07-02,1,1,1,1,2,4,1,1,1,1,1,1,0,3,3,3,3,1,1,2,2,2,2,2,2,-1,9
2021-07-03,2,4,4,4,4,6,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,9
2021-07-04,0,1,1,1,2,5,3,3,0,0,0,0,0,-1,8,8,8,0,0,0,0,-1,-1,-1,-1,-1,9
2021-07-09,0,0,0,0,0,4,3,3,3,1,1,1,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,6
2021-07-10,3,3,3,3,4,4,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,-1,-1,-1,-1,-1,9
2021-07-11,1,4,4,5,6,5,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,9
2021-07-16,1,3,3,3,4,7,2,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,-1,-1,9
2021-07-17,1,6,6,6,6,6,3,3,3,2,2,2,0,0,0,0,0,0,0,1,1,1,3,3,3,-1,9
2021-07-18,4,7,7,7,8,9,4,4,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-07-23,2,6,6,8,8,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,9
2021-07-24,3,7,7,7,7,4,1,1,1,1,1,1,0,0,0,0,0,0,0,3,3,0,0,0,0,-1,9
2021-07-25,5,5,5,5,5,5,0,0,1,1,1,1,0,4,4,4,4,4,0,-1,-1,6,6,6,6,-1,9
2021-07-30,3,5,5,5,5,4,2,2,2,2,2,2,0,0,0,0,0,0,1,1,1,1,1,1,1,-1,9
2021-07-31,1,7,7,6,7,6,2,2,2,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-08-01,1,3,3,3,4,4,1,1,1,1,1,1,0,22,0,0,0,0,0,1,1,1,1,1,1,-1,9
2021-08-06,0,9,9,8,4,3,2,2,2,2,0,0,0,-1,0,0,0,0,0,1,1,1,1,-1,-1,-1,9
2021-08-07,3,6,6,3,5,5,2,2,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1,1,-1,19
2021-08-08,1,6,6,6,6,7,2,2,2,3,3,2,0,0,0,0,0,0,0,3,3,3,1,1,3,-1,9
2021-08-13,3,3,3,3,4,9,3,3,3,3,3,3,0,3,3,3,3,0,1,0,0,0,0,0,0,-1,9
2021-08-14,0,4,4,4,5,8,2,2,2,2,2,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,11
2021-08-15,1,1,1,1,3,5,1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-08-20,0,3,3,3,3,2,2,2,2,2,1,1,0,-1,0,0,0,0,1,1,1,1,1,1,1,-1,9
2021-08-21,2,2,2,2,2,6,3,3,4,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-08-22,0,2,2,2,4,7,1,1,1,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,-1,-1,9
2021-08-27,3,3,3,3,3,1,0,0,0,0,0,0,0,3,3,3,3,3,0,-1,-1,-1,-1,-1,-1,-1,9
2021-08-28,2,3,3,3,3,3,1,1,0,0,0,0,0,16,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,9
2021-08-29,0,1,1,2,3,5,2,2,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,9
2021-09-03,7,7,7,7,8,8,2,2,2,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,-1,9
2021-09-04,0,1,1,0,4,5,0,0,0,0,0,0,0,-1,0,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,9
2021-09-05,0,1,1,1,1,5,2,2,3,3,3,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-09-10,2,4,4,4,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,-1,-1,-1,-1,9
2021-09-17,2,8,8,8,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,9
2021-09-18,0,1,1,1,1,2,0,0,1,0,0,0,0,-1,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1,13
2021-09-19,2,2,2,2,2,4,1,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-09-24,3,6,6,6,6,4,1,1,0,0,0,0,0,0,0,0,0,0,0,5,5,-1,-1,-1,-1,-1,9
2021-09-25,2,4,4,4,4,3,2,2,2,2,2,2,0,1,0,0,0,0,0,2,2,2,2,2,2,-1,9
2021-09-26,0,0,0,0,0,4,3,3,2,2,1,1,0,-1,-1,-1,-1,-1,0,0,0,1,1,1,1,-1,9
2021-10-01,0,2,2,2,3,4,3,3,3,3,2,2,0,-1,0,0,0,0,0,0,0,0,0,2,2,-1,9
2021-10-02,1,2,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,13
2021-10-03,0,1,1,0,0,3,3,3,3,3,3,3,0,-1,0,0,-1,-1,0,0,0,0,0,0,0,-1,9
2021-10-08,1,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,9
2021-10-09,0,6,6,5,5,6,2,2,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,9
2021-10-10,1,1,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,2,2,2,-1,-1,-1,-1,9
2021-10-15,1,1,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,9
2021-10-16,4,4,4,4,4,3,0,0,0,0,0,0,0,1,1,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,9
2021-10-17,1,1,1,1,1,3,2,2,2,1,1,1,0,0,0,0,0,0,0,1,1,1,3,0,0,-1,9
2021-10-22,3,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,9
2021-10-23,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,-1,-1,-1,-1,-1,9
2021-10-24,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,9
2021-10-29,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,9
