,res_id,res_dt,date,train_nr,line,reserved,capacity,bp_from,bp_to,dep_ist,dep_soll,arr_ist,arr_soll
76862,83968,2021-03-16,2021-03-21,831,IC 8,1.0,13.0,VI,TH,17:58:25,17:57:48,2021-03-21 18:35:41,2021-03-21 18:34:36
77643,84805,2021-03-26,2021-03-26,831,IC 8,2.0,9.0,BR,ZUE,17:48:30,17:48:30,2021-03-26 19:58:12,2021-03-26 19:58:00
77644,84806,2021-03-26,2021-03-26,831,IC 8,1.0,9.0,BN,ZUE,19:02:51,19:02:30,2021-03-26 19:58:12,2021-03-26 19:58:00
80134,88045,2021-04-02,2021-04-02,831,IC 8,1.0,9.0,VI,BN,17:57:49,17:57:48,2021-04-02 18:54:38,2021-04-02 18:55:00
80135,88046,2021-04-02,2021-04-02,831,IC 8,1.0,9.0,VI,BN,17:57:49,17:57:48,2021-04-02 18:54:38,2021-04-02 18:55:00
80136,88047,2021-04-02,2021-04-02,831,IC 8,1.0,9.0,BN,ZFH,19:02:44,19:02:30,2021-04-02 20:14:31,2021-04-02 20:14:00
80137,88048,2021-04-02,2021-04-02,831,IC 8,1.0,9.0,BN,ZUE,19:02:44,19:02:30,2021-04-02 19:58:12,2021-04-02 19:58:00
80138,88049,2021-04-02,2021-04-02,831,IC 8,1.0,9.0,BN,ZUE,19:02:44,19:02:30,2021-04-02 19:58:12,2021-04-02 19:58:00
81379,89298,2021-04-02,2021-04-03,831,IC 8,2.0,9.0,BN,ZUE,19:02:44,19:02:30,2021-04-03 19:57:35,2021-04-03 19:58:00
81380,89299,2021-04-02,2021-04-03,831,IC 8,1.0,9.0,VI,TH,17:57:33,17:57:48,2021-04-03 18:35:34,2021-04-03 18:34:36
81381,89300,2021-04-03,2021-04-03,831,IC 8,1.0,9.0,VI,W,17:57:33,17:57:48,2021-04-03 20:29:45,2021-04-03 20:29:00
81382,89301,2021-04-03,2021-04-03,831,IC 8,1.0,9.0,BR,ZUE,17:48:56,17:48:30,2021-04-03 19:57:35,2021-04-03 19:58:00
81383,89302,2021-04-03,2021-04-03,831,IC 8,1.0,9.0,VI,BN,17:57:33,17:57:48,2021-04-03 18:56:22,2021-04-03 18:55:00
81384,89303,2021-04-03,2021-04-03,831,IC 8,1.0,9.0,BR,VI,17:48:56,17:48:30,2021-04-03 17:55:46,2021-04-03 17:55:12
81385,89304,2021-04-03,2021-04-03,831,IC 8,1.0,9.0,BR,VI,17:48:56,17:48:30,2021-04-03 17:55:46,2021-04-03 17:55:12
81386,89305,2021-04-03,2021-04-03,831,IC 8,1.0,9.0,BN,ZUE,19:02:44,19:02:30,2021-04-03 19:57:35,2021-04-03 19:58:00
81387,89306,2021-04-03,2021-04-03,831,IC 8,1.0,9.0,VI,ZUE,17:57:33,17:57:48,2021-04-03 19:57:35,2021-04-03 19:58:00
