,BR,VI,FR,SP,TH,BN,ZUE,ZFH,W,FF,WF,AW,RH,BR_days_before_last_booking,VI_days_before_last_booking,FR_days_before_last_booking,SP_days_before_last_booking,TH_days_before_last_booking,BN_days_before_last_booking,ZUE_days_before_last_booking,ZFH_days_before_last_booking,W_days_before_last_booking,FF_days_before_last_booking,WF_days_before_last_booking,AW_days_before_last_booking,RH_days_before_last_booking,capacity
2021-03-21,0,0,0,0,0,4,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,9
2021-03-27,0,0,0,0,0,0,2,2,2,2,2,2,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,18
2021-03-28,0,0,0,0,0,0,3,3,3,2,2,2,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,18
2021-04-02,0,0,0,1,1,1,2,2,3,2,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,-1,9
2021-04-03,1,2,2,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,-1,-1,9
2021-04-04,0,1,1,1,1,5,3,3,3,3,3,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-04-05,1,2,2,2,2,7,7,7,7,7,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-04-09,2,3,3,3,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1,15
2021-04-10,0,0,0,0,0,2,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,9
2021-04-11,0,0,0,0,0,3,4,4,4,4,4,4,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,9
2021-04-16,0,0,0,0,0,11,4,4,4,3,3,3,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,15
2021-04-17,0,0,0,0,0,3,2,2,2,1,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,-1,-1,-1,9
2021-04-18,0,2,2,1,1,7,3,3,2,1,1,1,0,-1,0,0,3,3,0,0,0,0,1,1,1,-1,9
2021-04-23,1,2,2,2,2,7,4,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,15
2021-04-24,3,4,4,3,3,6,6,6,7,6,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-04-25,0,2,2,2,2,4,2,3,5,5,5,5,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-05-01,0,0,0,0,1,2,1,1,1,1,1,1,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,9
2021-05-07,0,1,1,1,2,4,1,1,1,0,0,0,0,-1,2,2,2,0,0,0,0,0,-1,-1,-1,-1,9
2021-05-08,0,2,2,2,2,3,2,2,2,2,2,2,0,-1,8,8,8,8,0,0,0,0,0,0,0,-1,9
2021-05-09,1,2,2,1,0,7,5,4,2,2,2,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,-1,9
2021-05-21,7,12,12,12,10,9,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,-1,15
2021-05-22,1,4,4,3,3,2,3,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-05-23,1,2,2,2,2,0,0,0,1,1,1,1,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,-1,9
2021-05-24,0,3,3,3,5,7,2,2,6,6,7,7,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-05-28,2,5,5,5,6,9,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,15
2021-05-29,1,1,1,1,4,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,9
2021-05-30,0,2,2,2,2,3,2,2,4,4,4,3,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-06-04,1,7,7,7,6,3,2,2,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,15
2021-06-05,5,6,6,7,7,6,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-06-11,2,7,7,7,8,6,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,15
2021-06-12,2,2,2,2,2,3,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,-1,-1,-1,-1,9
2021-06-13,3,5,5,5,6,7,3,3,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-06-18,2,4,4,4,7,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,15
2021-06-19,1,1,1,1,1,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,9
2021-06-20,6,8,8,8,8,7,5,5,6,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,11
2021-06-25,1,2,2,2,2,2,2,2,2,2,2,2,0,5,0,0,0,0,0,0,0,0,0,0,0,-1,15
2021-06-26,1,1,1,0,2,4,2,2,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,-1,-1,-1,-1,9
2021-06-27,0,2,2,2,2,7,5,5,5,2,2,2,0,-1,1,1,1,1,0,1,1,1,1,1,1,-1,9
2021-07-02,0,4,4,2,3,5,3,3,2,2,1,1,0,-1,0,0,0,0,0,0,0,2,2,30,30,-1,15
2021-07-03,0,2,2,2,3,2,2,2,2,2,2,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-07-09,3,8,8,7,8,9,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,15
2021-07-10,1,1,1,1,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,44,44,-1,9
2021-07-11,0,0,0,0,0,3,8,8,7,7,1,1,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,9
2021-07-16,3,4,4,4,4,5,0,0,0,0,2,2,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,-1,15
2021-07-17,2,2,2,2,2,2,0,0,2,2,2,2,0,56,56,56,56,56,56,-1,-1,0,0,0,0,-1,9
2021-07-18,2,1,1,1,1,4,1,1,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,-1,-1,-1,9
2021-07-23,1,1,1,1,2,4,4,4,4,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,15
2021-07-24,0,1,1,1,1,3,3,3,3,3,3,3,0,-1,0,0,0,0,1,1,1,1,1,1,1,-1,9
2021-07-25,1,3,3,1,2,7,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-07-30,1,1,1,1,2,6,5,5,6,6,6,6,0,1,1,1,1,0,0,0,0,0,0,0,0,-1,15
2021-07-31,0,0,0,1,1,4,4,3,2,1,1,1,0,-1,-1,-1,0,0,1,0,0,0,19,19,19,-1,9
2021-08-01,1,1,1,0,0,6,1,1,1,1,0,0,0,1,1,1,-1,-1,0,0,0,10,10,-1,-1,-1,9
2021-08-06,1,4,4,4,5,4,4,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,15
2021-08-07,2,3,3,3,2,6,4,4,6,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-08-08,1,2,2,2,2,5,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-08-13,1,6,6,6,7,4,1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,15
2021-08-14,0,2,2,1,1,4,1,1,1,1,1,1,0,-1,0,0,1,1,0,0,0,0,0,0,0,-1,15
2021-08-15,1,3,3,2,2,8,7,7,8,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-08-20,3,4,4,4,6,9,5,5,2,1,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,-1,15
2021-08-21,0,2,2,2,3,3,0,0,1,1,1,1,0,-1,0,0,0,0,0,-1,-1,0,0,0,0,-1,9
2021-08-22,0,2,2,1,2,9,5,5,7,7,7,7,0,-1,0,0,1,1,1,0,0,0,0,0,0,-1,9
2021-08-27,3,8,8,8,8,5,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,15
2021-08-28,1,2,2,2,1,3,2,2,1,3,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,-1,18
2021-08-29,0,0,0,0,0,6,2,2,4,5,5,4,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,9
2021-09-03,8,12,12,13,14,14,3,3,3,3,3,3,0,0,0,0,0,0,0,8,8,8,8,8,8,-1,15
2021-09-04,1,1,1,2,2,5,0,0,0,0,0,0,0,0,3,3,0,0,0,-1,-1,-1,-1,-1,-1,-1,9
2021-09-05,5,5,5,5,5,6,7,7,6,5,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-09-10,0,9,9,9,11,3,4,5,4,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,-1,-1,17
2021-09-17,2,7,7,7,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,17
2021-09-18,3,3,3,3,3,3,1,1,0,0,0,0,0,1,1,1,1,1,0,1,1,-1,-1,-1,-1,-1,9
2021-09-19,1,1,1,1,1,0,1,1,1,1,2,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,9
2021-09-24,3,9,9,9,8,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,9
2021-09-25,1,1,1,1,0,1,1,1,2,2,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,9
2021-09-26,1,1,1,1,1,8,5,5,5,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-10-01,2,4,4,5,7,8,2,2,3,3,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,-1,17
2021-10-02,0,1,1,1,2,5,3,3,4,3,2,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-10-03,0,3,3,1,1,7,2,2,3,3,2,2,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,9
2021-10-08,0,1,1,0,0,2,0,0,1,1,1,1,0,-1,0,0,-1,-1,0,-1,-1,0,0,0,0,-1,17
2021-10-09,1,4,4,4,5,5,2,2,1,2,1,1,0,4,0,0,0,0,0,0,0,11,0,0,0,-1,9
2021-10-10,0,0,0,0,0,4,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,9
2021-10-15,1,3,3,3,3,5,1,1,1,1,0,0,0,0,0,0,0,0,0,3,3,3,3,-1,-1,-1,15
2021-10-16,2,5,5,5,5,2,0,0,0,0,0,0,0,1,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,9
2021-10-17,0,1,1,1,2,8,0,0,1,0,0,0,0,-1,0,0,0,0,0,-1,-1,0,-1,-1,-1,-1,9
2021-10-22,1,1,1,1,2,6,2,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,-1,15
2021-10-23,0,2,2,2,2,2,1,1,1,0,0,0,0,-1,5,5,5,5,0,0,0,0,-1,-1,-1,-1,9
2021-10-24,0,1,1,2,2,3,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,9
2021-10-29,2,4,4,4,4,5,0,0,1,1,1,1,0,3,1,1,1,1,0,-1,-1,0,0,0,0,-1,15
